"","site","vol"
"MNI-142_0.5km","MNI-142_0.5km","1198063.04519625"
"MNI-143_0.5km","MNI-143_0.5km","606455.204805"
"MNI-144_0.5km","MNI-144_0.5km","2072725.182045"
"MNI-145_0.5km","MNI-145_0.5km","366485.52558375"
"MNI-146_0.5km","MNI-146_0.5km","503879.50675125"
"MNI-147_0.5km","MNI-147_0.5km","867990.5601825"
"MNI-148_0.5km","MNI-148_0.5km","2288081.56845"
"MNI-149_0.5km","MNI-149_0.5km","3527138.8151626"
"MNI-150_0.5km","MNI-150_0.5km","495149.58251625"
"MNI-151_0.5km","MNI-151_0.5km","2634418.78630753"
"MNI-152_0.5km","MNI-152_0.5km","961758.80883375"
"MNI-153_0.5km","MNI-153_0.5km","31053.8252025"
"MNI-154_0.5km","MNI-154_0.5km","111388.7125125"
"MNI-155_0.5km","MNI-155_0.5km","794927.8933425"
"MNI-156_0.5km","MNI-156_0.5km","618556.64477625"
"MNI-157_0.5km","MNI-157_0.5km","5646.92278125001"
"MNI-158_0.5km","MNI-158_0.5km","519905.53431375"
"MNI-159_0.5km","MNI-159_0.5km","329493.343785"
"MNI-160_0.5km","MNI-160_0.5km","1539410.514465"
"MNI-161_0.5km","MNI-161_0.5km","209543.4525975"
"MNI-162_0.5km","MNI-162_0.5km","1392429.35995515"
"MNI-163_0.5km","MNI-163_0.5km","165690.06590625"
"MNI-164_0.5km","MNI-164_0.5km","152040.3385725"
"MNI-165_0.5km","MNI-165_0.5km","349434.9697875"
"MNI-166_0.5km","MNI-166_0.5km","1250507.96661"
"MNI-167_0.5km","MNI-167_0.5km","1463696.75572125"
"MNI-168_0.5km","MNI-168_0.5km","54913.02582"
"MNI-169_0.5km","MNI-169_0.5km","330266.524965"
"MNI-170_0.5km","MNI-170_0.5km","1487880.84707745"
"MNI-171_0.5km","MNI-171_0.5km","568521.29995125"
"MNI-172_0.5km","MNI-172_0.5km","1502393.195417"
"MNI-173_0.5km","MNI-173_0.5km","1240034.29973625"
"MNI-174_0.5km","MNI-174_0.5km","135965.08161375"
"MNI-176_0.5km","MNI-176_0.5km","1012969.87123125"
"MNI-177_0.5km","MNI-177_0.5km","350076.6507375"
"MNI-178_0.5km","MNI-178_0.5km","334227.7597525"
"MNI-179_0.5km","MNI-179_0.5km","1144035.85770375"
"MNI-180_0.5km","MNI-180_0.5km","611197.092285"
"MNI-181_0.5km","MNI-181_0.5km","785894.78362125"
"MNI-182_0.5km","MNI-182_0.5km","299772.87631125"
"MNI-183_0.5km","MNI-183_0.5km","771561.50808"
"MNI-184_0.5km","MNI-184_0.5km","103222.5132075"
"MNI-185_0.5km","MNI-185_0.5km","369557.713755"
"MNI-186_0.5km","MNI-186_0.5km","56189.92044375"
"MNI-187_0.5km","MNI-187_0.5km","261262.65386625"
"MNI-188_0.5km","MNI-188_0.5km","1563636.6954225"
"MNI-189_0.5km","MNI-189_0.5km","2038371.17008875"
"MNI-190_0.5km","MNI-190_0.5km","1119247.37238"
"MNI-191_0.5km","MNI-191_0.5km","570215.21895375"
"MNI-192_0.5km","MNI-192_0.5km","1579658.01211125"
"MNI-193_0.5km","MNI-193_0.5km","1569593.6170825"
"MNI-194_0.5km","MNI-194_0.5km","1483195.294915"
"MNI-195_0.5km","MNI-195_0.5km","503879.50675125"
"MNI-196_0.5km","MNI-196_0.5km","625449.08844"
"MNI-198_0.5km","MNI-198_0.5km","1827889.97311875"
"MNI-199_0.5km","MNI-199_0.5km","1455082.6290975"
"MNI-200_0.5km","MNI-200_0.5km","912893.78536875"
"MNI-201_0.5km","MNI-201_0.5km","1040102.8899825"
"MNI-202_0.5km","MNI-202_0.5km","718354.6029975"
"MNI-203_0.5km","MNI-203_0.5km","1278992.3126925"
"MNI-204_0.5km","MNI-204_0.5km","1320902.2439325"
"MNI-205_0.5km","MNI-205_0.5km","381838.16338125"
"MNI-206_0.5km","MNI-206_0.5km","1181065.2691275"
"MNI-207_0.5km","MNI-207_0.5km","67235.74403625"
"MNI-208_0.5km","MNI-208_0.5km","1013691.71602125"
"MNI-209_0.5km","MNI-209_0.5km","540161.8836675"
"MNI-210_0.5km","MNI-210_0.5km","1171197.0234175"
"MNI-211_0.5km","MNI-211_0.5km","924821.02389875"
"MNI-212_0.5km","MNI-212_0.5km","600837.41160375"
"MNI-213_0.5km","MNI-213_0.5km","1072421.80011375"
"MNI-214_0.5km","MNI-214_0.5km","726833.3714175"
"MNI-215_0.5km","MNI-215_0.5km","1210870.66260375"
"MNI-216_0.5km","MNI-216_0.5km","611532.45873125"
"MNI-217_0.5km","MNI-217_0.5km","663039.17566625"
"MNI-218_0.5km","MNI-218_0.5km","321504.25026375"
"MNI-219_0.5km","MNI-219_0.5km","453916.4775225"
"MNI-220_0.5km","MNI-220_0.5km","728193.92356875"
"MNI-221_0.5km","MNI-221_0.5km","129780.58498875"
"MNI-222_0.5km","MNI-222_0.5km","449704.45767375"
"MNI-223_0.5km","MNI-223_0.5km","521206.46209125"
"MNI-224_0.5km","MNI-224_0.5km","785894.78362125"
"MNI-225_0.5km","MNI-225_0.5km","304521.62295125"
"MNI-226_0.5km","MNI-226_0.5km","928799.57962125"
"MNI-227_0.5km","MNI-227_0.5km","442554.95968125"
"MNI-228_0.5km","MNI-228_0.5km","543167.4157425"
"MNI-229_0.5km","MNI-229_0.5km","381838.16338125"
"MNI-232_0.5km","MNI-232_0.5km","1462421.785355"
"MNI-233_0.5km","MNI-233_0.5km","1636077.09960375"
"MNI-234_0.5km","MNI-234_0.5km","72370.6878375"
"MNI-235_0.5km","MNI-235_0.5km","1728370.87969875"
"MNI-236_0.5km","MNI-236_0.5km","700837.905945"
"MNI-237_0.5km","MNI-237_0.5km","176027.02939125"
"MNI-238_0.5km","MNI-238_0.5km","957500.720145"
"MNI-239_0.5km","MNI-239_0.5km","1487374.61058375"
"MNI-240_0.5km","MNI-240_0.5km","67430.91486"
"MNI-241_0.5km","MNI-241_0.5km","556652.6860525"
"MNI-242_0.5km","MNI-242_0.5km","433190.75522125"
"MNI-243_0.5km","MNI-243_0.5km","366485.52558375"
"MNI-244_0.5km","MNI-244_0.5km","233141.715"
"MNI-245_0.5km","MNI-245_0.5km","249438.94747125"
"MNI-246_0.5km","MNI-246_0.5km","1086171.401325"
"MNI-247_0.5km","MNI-247_0.5km","1311151.5267225"
"MNI-248_0.5km","MNI-248_0.5km","1215271.668525"
"MNI-249_0.5km","MNI-249_0.5km","2446609.24372125"
"MNI-250_0.5km","MNI-250_0.5km","610519.628535"
"MNI-251_0.5km","MNI-251_0.5km","757286.6624475"
"MNI-252_0.5km","MNI-252_0.5km","718158.51732375"
"MNI-253_0.5km","MNI-253_0.5km","373508.35528875"
"MNI-254_0.5km","MNI-254_0.5km","447846.5750325"
"MNI-255_0.5km","MNI-255_0.5km","644697.8411025"
"MNI-256_0.5km","MNI-256_0.5km","973102.6872825"
"MNI-257_0.5km","MNI-257_0.5km","904736.19001375"
"MNI-258_0.5km","MNI-258_0.5km","1056177.94121625"
"MNI-259_0.5km","MNI-259_0.5km","1259972.82611625"
"MNI-260_0.5km","MNI-260_0.5km","683965.68619875"
"MNI-261_0.5km","MNI-261_0.5km","66180.08182125"
"MNI-262_0.5km","MNI-262_0.5km","158468.03169"
"MNI-264_0.5km","MNI-264_0.5km","511394.08411125"
"MNI-265_0.5km","MNI-265_0.5km","963960.3252075"
"MNI-266_0.5km","MNI-266_0.5km","425765.85450375"
"MNI-267_0.5km","MNI-267_0.5km","662533.057275"
"MNI-268_0.5km","MNI-268_0.5km","351386.326308751"
"MNI-269_0.5km","MNI-269_0.5km","139496.0605875"
"MNI-270_0.5km","MNI-270_0.5km","632070.90546375"
"MPI-001_0.5km","MPI-001_0.5km","5111053.21467504"
"MPI-002_0.5km","MPI-002_0.5km","1939205.69782125"
"MPI-003_0.5km","MPI-003_0.5km","2244985.04978625"
"MPI-004_0.5km","MPI-004_0.5km","1779932.67514875"
"MPI-005_0.5km","MPI-005_0.5km","1552457.65394625"
"MPI-006_0.5km","MPI-006_0.5km","2227976.85756375"
"MPI-007_0.5km","MPI-007_0.5km","1018522.58536125"
"MPI-008_0.5km","MPI-008_0.5km","28181.32986375"
"MPI-009_0.5km","MPI-009_0.5km","232615.03774875"
"MPI-010_0.5km","MPI-010_0.5km","2772091.0110314"
"MPI-011_0.5km","MPI-011_0.5km","874173.71559"
"MPI-012_0.5km","MPI-012_0.5km","1945151.76191225"
"MPI-013_0.5km","MPI-013_0.5km","813656.67346375"
"MPI-014_0.5km","MPI-014_0.5km","1668777.82824"
"MPI-015_0.5km","MPI-015_0.5km","2392160.80911375"
"MPI-016_0.5km","MPI-016_0.5km","2392160.80911375"
"MPI-017_0.5km","MPI-017_0.5km","3610.55542125001"
"MPI-018_0.5km","MPI-018_0.5km","2277864.9512925"
"MPI-019_0.5km","MPI-019_0.5km","2256790.57654125"
"MPI-020_0.5km","MPI-020_0.5km","1589022.75315"
"MPI-021_0.5km","MPI-021_0.5km","890199.730545"
"MPI-022_0.5km","MPI-022_0.5km","2022863.66682375"
"MPI-023_0.5km","MPI-023_0.5km","591563.6071575"
"MPI-024_0.5km","MPI-024_0.5km","313802.5401875"
"MPI-025_0.5km","MPI-025_0.5km","2965037.4727381"
"MPI-026_0.5km","MPI-026_0.5km","580542.7769175"
"MPI-027_0.5km","MPI-027_0.5km","1116291.45944125"
"MPI-028_0.5km","MPI-028_0.5km","1116291.45944125"
"MPI-029_0.5km","MPI-029_0.5km","2038371.17008875"
"MPI-030_0.5km","MPI-030_0.5km","53623.62754875"
"MPI-031_0.5km","MPI-031_0.5km","4354889.8982775"
"MPI-032_0.5km","MPI-032_0.5km","561469.76258625"
"MPI-033_0.5km","MPI-033_0.5km","4167201.9354125"
"MPI-034_0.5km","MPI-034_0.5km","4167201.9354125"
"MPI-035_0.5km","MPI-035_0.5km","2024603.00995125"
"MPI-036_0.5km","MPI-036_0.5km","59670.74751875"
"MPI-037_0.5km","MPI-037_0.5km","1238751.06941175"
"MPI-038_0.5km","MPI-038_0.5km","2692546.3874266"
"MPI-039_0.5km","MPI-039_0.5km","555054.17965875"
"MPI-040_0.5km","MPI-040_0.5km","1579658.01211125"
"MPI-041_0.5km","MPI-041_0.5km","1258003.23124875"
"MPI-042_0.5km","MPI-042_0.5km","2983156.18070125"
"MPI-043_0.5km","MPI-043_0.5km","2038371.17008875"
"MPI-044_0.5km","MPI-044_0.5km","400600.9364925"
"MPI-045_0.5km","MPI-045_0.5km","652659.97474875"
"MPI-046_0.5km","MPI-046_0.5km","1082281.05288"
"MPI-047_0.5km","MPI-047_0.5km","55098.42546375"
"MPI-048_0.5km","MPI-048_0.5km","7910.53133249999"
"MPI-049_0.5km","MPI-049_0.5km","1062411.83269875"
"MPI-050_0.5km","MPI-050_0.5km","600837.41160375"
"MPI-051_0.5km","MPI-051_0.5km","1668777.82824"
"MPI-052_0.5km","MPI-052_0.5km","912185.63808375"
"MPI-053_0.5km","MPI-053_0.5km","1736904.21259875"
"MPI-054_0.5km","MPI-054_0.5km","1578918.3820841"
"MPI-055_0.5km","MPI-055_0.5km","2103639.81958375"
"MPI-057_0.5km","MPI-057_0.5km","671509.16511"
